,x,y,cluster,id,code,size,tag,title,count,priority
13,8.819443,4.539297,44,13,tech,0.25,Court Technology Challenges,<i><br>Challenges and Solutions for Integrating<br>Modern Technology in the Court System</i>,52.0,Regular
14,8.752745,4.673139,44,14,tech,0.25,Court Technology Challenges,<i><br>Challenges and Solutions for Integrating<br>Modern Technology in the Court System</i>,52.0,Regular
15,7.1180277,4.2612915,18,15,tech,0.25,Technology Management Challenges,<i><br>Challenges and Strategies in Technology<br>Management for Agencies</i>,17.0,Regular
16,7.841748,4.4012218,38,16,other,0.25,Vendor Systems Challenges,<i><br>Overcoming Challenges in Implementing<br>Vendor Systems in Court Systems:<br>Strategies and Solutions</i>,12.0,Regular
17,7.9248376,4.38136,38,17,tdv,0.25,Vendor Systems Challenges,<i><br>Overcoming Challenges in Implementing<br>Vendor Systems in Court Systems:<br>Strategies and Solutions</i>,12.0,Regular
18,8.707039,4.9974265,44,18,tech,0.25,Court Technology Challenges,<i><br>Challenges and Solutions for Integrating<br>Modern Technology in the Court System</i>,52.0,Regular
19,7.9518924,4.3722568,38,19,tech,0.25,Vendor Systems Challenges,<i><br>Overcoming Challenges in Implementing<br>Vendor Systems in Court Systems:<br>Strategies and Solutions</i>,12.0,Regular
20,7.991025,4.422724,38,20,tech,0.25,Vendor Systems Challenges,<i><br>Overcoming Challenges in Implementing<br>Vendor Systems in Court Systems:<br>Strategies and Solutions</i>,12.0,Regular
21,7.934246,4.388478,38,21,tech,0.25,Vendor Systems Challenges,<i><br>Overcoming Challenges in Implementing<br>Vendor Systems in Court Systems:<br>Strategies and Solutions</i>,12.0,Regular
22,7.970915,4.350038,38,22,other,0.25,Vendor Systems Challenges,<i><br>Overcoming Challenges in Implementing<br>Vendor Systems in Court Systems:<br>Strategies and Solutions</i>,12.0,Regular
23,8.191441,4.46319,38,23,other,0.25,Vendor Systems Challenges,<i><br>Overcoming Challenges in Implementing<br>Vendor Systems in Court Systems:<br>Strategies and Solutions</i>,12.0,Regular
24,7.6159673,4.3804398,-1,24,tech,0.25,Noise Point,Noise Point,0.0,Regular
25,6.9837627,5.486041,33,25,other,0.25,Operations Enhancement,"<i><br>Improving Agency Operations through<br>Technology, Data, and Evidence-Based<br>Research</i>",30.0,Regular
26,7.080602,4.262978,18,26,tech,0.25,Technology Management Challenges,<i><br>Challenges and Strategies in Technology<br>Management for Agencies</i>,17.0,Regular
27,7.3579655,4.4344997,18,27,tech,0.25,Technology Management Challenges,<i><br>Challenges and Strategies in Technology<br>Management for Agencies</i>,17.0,Regular
28,8.502923,4.5431275,44,28,other,0.25,Court Technology Challenges,<i><br>Challenges and Solutions for Integrating<br>Modern Technology in the Court System</i>,52.0,Regular
29,6.9645286,4.846476,17,29,tdv,0.25,Certification Challenges,<i><br>Challenges and Solutions for Small Law<br>Enforcement Agencies in Meeting<br>Certification Standards and Implementing<br>New Technologies</i>,12.0,Regular
30,6.886894,4.8467164,17,30,tdv,0.25,Certification Challenges,<i><br>Challenges and Solutions for Small Law<br>Enforcement Agencies in Meeting<br>Certification Standards and Implementing<br>New Technologies</i>,12.0,Regular
31,6.2084737,7.4433694,-1,31, polic,0.25,Noise Point,Noise Point,0.0,Regular
32,7.0864577,5.062801,17,32,tech,0.25,Certification Challenges,<i><br>Challenges and Solutions for Small Law<br>Enforcement Agencies in Meeting<br>Certification Standards and Implementing<br>New Technologies</i>,12.0,Regular
33,7.3089623,4.4501405,18,33,other,0.25,Technology Management Challenges,<i><br>Challenges and Strategies in Technology<br>Management for Agencies</i>,17.0,Regular
34,6.4746966,7.2701964,41,34,tech,0.25,Law Enforcement Enhancement,"<i><br>Enhancing Law Enforcement Operations:<br>Public Perception, Officer Safety, and<br>Technological Advancements</i>",51.0,Priority
35,6.3871546,8.760158,-1,35,fingerprint,0.25,Noise Point,Noise Point,0.0,Regular
36,7.046065,6.0075536,33,36,other,0.25,Operations Enhancement,"<i><br>Improving Agency Operations through<br>Technology, Data, and Evidence-Based<br>Research</i>",30.0,Regular
37,6.9425473,4.852334,17,37,other,0.25,Certification Challenges,<i><br>Challenges and Solutions for Small Law<br>Enforcement Agencies in Meeting<br>Certification Standards and Implementing<br>New Technologies</i>,12.0,Regular
38,6.924773,4.832732,17,38,tech,0.25,Certification Challenges,<i><br>Challenges and Solutions for Small Law<br>Enforcement Agencies in Meeting<br>Certification Standards and Implementing<br>New Technologies</i>,12.0,Regular
39,4.681782,7.383652,31,39,other,0.25,Mobile Safety,<i><br>Advancements in Mobile Technology and<br>Information Accessibility for Enhanced<br>Safety in Correctional Facilities</i>,11.0,Regular
40,8.262235,5.8059196,-1,40,other,0.25,Noise Point,Noise Point,0.0,Regular
41,3.3749855,6.39052,-1,41,other,0.25,Noise Point,Noise Point,0.0,Regular
42,6.6872363,6.1695538,34,42,other,0.25,Collaboration Enhancement,<i><br>Enhancing Collaboration and Coordination<br>for Crisis Management and Innovation</i>,13.0,Priority
43,6.651541,6.145138,34,43,other,0.25,Collaboration Enhancement,<i><br>Enhancing Collaboration and Coordination<br>for Crisis Management and Innovation</i>,13.0,Priority
44,6.6471806,6.113905,34,44,other,0.25,Collaboration Enhancement,<i><br>Enhancing Collaboration and Coordination<br>for Crisis Management and Innovation</i>,13.0,Priority
45,3.801582,5.8008676,-1,45, polic,0.25,Noise Point,Noise Point,0.0,Regular
46,4.2156105,7.1667,-1,46,other,0.25,Noise Point,Noise Point,0.0,Regular
47,4.214519,5.473036,11,47,other,0.25,Correctional Reform,"<i><br>Improving Services and Practices in the<br>Correctional System: A Focus on Crime<br>Victims, Community Corrections, and<br>Positive Reinforcement for Offenders</i>",18.0,Regular
48,7.1833396,7.028,46,48,other,0.25,Social Media Analysis Challenges,<i><br>Challenges and Needs in Social Media<br>Analysis for Law Enforcement and<br>Criminal Justice</i>,21.0,Priority
49,3.900292,6.362132,22,49,other,0.25,Correctional Efficiency,<i><br>Efficiency and Special Needs Management<br>in Correctional Facilities</i>,32.0,Regular
50,4.413119,5.712342,11,50,other,0.25,Correctional Reform,"<i><br>Improving Services and Practices in the<br>Correctional System: A Focus on Crime<br>Victims, Community Corrections, and<br>Positive Reinforcement for Offenders</i>",18.0,Regular
51,7.1548533,6.8705683,46,51,other,0.25,Social Media Analysis Challenges,<i><br>Challenges and Needs in Social Media<br>Analysis for Law Enforcement and<br>Criminal Justice</i>,21.0,Priority
52,3.853266,6.359198,22,52,other,0.25,Correctional Efficiency,<i><br>Efficiency and Special Needs Management<br>in Correctional Facilities</i>,32.0,Regular
53,6.8516917,6.5620832,-1,53,other,0.25,Noise Point,Noise Point,0.0,Regular
54,5.574533,7.3898387,-1,54,other,0.25,Noise Point,Noise Point,0.0,Regular
55,3.1356807,3.7540574,1,55,tech,0.25,Dynamic Risk Assessment,<i><br>Improving Case Management Systems: The<br>Need for Dynamic Risk Assessment Tools<br>and Validation Techniques</i>,17.0,Priority
56,8.951447,3.9475582,-1,56,other,0.25,Noise Point,Noise Point,0.0,Regular
57,8.960919,4.008391,44,57,other,0.25,Court Technology Challenges,<i><br>Challenges and Solutions for Integrating<br>Modern Technology in the Court System</i>,52.0,Regular
58,9.873038,5.774939,14,58,other,0.25,Digital Transformation,"<i><br>Transitioning from Paper to Electronic<br>Court Systems: Challenges, Needs, and<br>Strategies</i>",14.0,Regular
59,8.727815,6.108296,-1,59,other,0.25,Noise Point,Noise Point,0.0,Regular
60,8.500903,6.371232,47,60,other,0.25,Data Access,"<i><br>Improving Access to Centralized<br>Databases for State and Local Agencies:<br>Balancing Security, Privacy, and Public<br>Access</i>",16.0,Regular
61,10.594246,3.7414732,2,61,tech,0.25,Access and Support,<i><br>Improving Access and Support for Pro Se<br>Litigants through Technology and Non-<br>Lawyer Assistance</i>,9.0,Regular
62,10.609363,3.7193484,2,62,other,0.25,Access and Support,<i><br>Improving Access and Support for Pro Se<br>Litigants through Technology and Non-<br>Lawyer Assistance</i>,9.0,Regular
63,8.96778,5.2658157,44,63,tech,0.25,Court Technology Challenges,<i><br>Challenges and Solutions for Integrating<br>Modern Technology in the Court System</i>,52.0,Regular
64,9.084404,4.6016088,-1,64,tech,0.25,Noise Point,Noise Point,0.0,Regular
65,8.95442,4.5609584,44,65,tech,0.25,Court Technology Challenges,<i><br>Challenges and Solutions for Integrating<br>Modern Technology in the Court System</i>,52.0,Regular
66,7.5648355,5.5607014,42,66,other,0.25,Data Governance,<i><br>Addressing Challenges and Enhancing Data<br>Sharing and Interoperability in<br>Government Agencies</i>,22.0,Regular
67,8.614203,4.698565,44,67,other,0.25,Court Technology Challenges,<i><br>Challenges and Solutions for Integrating<br>Modern Technology in the Court System</i>,52.0,Regular
68,9.27245,4.78183,35,68,other,0.25,Court Reform,"<i><br>Reforming the Court System: Enhancing<br>Efficiency through Negotiation,<br>Restorative Justice, and Technological<br>Innovations</i>",10.0,Regular
69,9.429074,4.979031,-1,69,other,0.25,Noise Point,Noise Point,0.0,Regular
70,8.209702,4.487541,-1,70,other,0.25,Noise Point,Noise Point,0.0,Regular
71,6.278285,6.854373,41,71, polic,0.25,Law Enforcement Enhancement,"<i><br>Enhancing Law Enforcement Operations:<br>Public Perception, Officer Safety, and<br>Technological Advancements</i>",51.0,Priority
72,6.286047,6.5534706,41,72,other,0.25,Law Enforcement Enhancement,"<i><br>Enhancing Law Enforcement Operations:<br>Public Perception, Officer Safety, and<br>Technological Advancements</i>",51.0,Priority
73,6.290626,6.860718,41,73,other,0.25,Law Enforcement Enhancement,"<i><br>Enhancing Law Enforcement Operations:<br>Public Perception, Officer Safety, and<br>Technological Advancements</i>",51.0,Priority
74,6.3290687,7.209266,41,74, polic,0.25,Law Enforcement Enhancement,"<i><br>Enhancing Law Enforcement Operations:<br>Public Perception, Officer Safety, and<br>Technological Advancements</i>",51.0,Priority
75,6.2592373,6.856231,41,75, polic,0.25,Law Enforcement Enhancement,"<i><br>Enhancing Law Enforcement Operations:<br>Public Perception, Officer Safety, and<br>Technological Advancements</i>",51.0,Priority
76,6.555319,5.289328,33,76,other,0.25,Operations Enhancement,"<i><br>Improving Agency Operations through<br>Technology, Data, and Evidence-Based<br>Research</i>",30.0,Regular
77,6.1965613,7.0153027,41,77, polic,0.25,Law Enforcement Enhancement,"<i><br>Enhancing Law Enforcement Operations:<br>Public Perception, Officer Safety, and<br>Technological Advancements</i>",51.0,Priority
78,6.645778,5.330712,33,78,other,0.25,Operations Enhancement,"<i><br>Improving Agency Operations through<br>Technology, Data, and Evidence-Based<br>Research</i>",30.0,Regular
79,6.620189,5.2756205,33,79,tech,0.25,Operations Enhancement,"<i><br>Improving Agency Operations through<br>Technology, Data, and Evidence-Based<br>Research</i>",30.0,Regular
80,3.0319674,4.148583,1,80,other,0.25,Dynamic Risk Assessment,<i><br>Improving Case Management Systems: The<br>Need for Dynamic Risk Assessment Tools<br>and Validation Techniques</i>,17.0,Priority
81,9.270791,4.7916436,35,81,other,0.25,Court Reform,"<i><br>Reforming the Court System: Enhancing<br>Efficiency through Negotiation,<br>Restorative Justice, and Technological<br>Innovations</i>",10.0,Regular
82,6.1855946,7.064159,41,82, polic,0.25,Law Enforcement Enhancement,"<i><br>Enhancing Law Enforcement Operations:<br>Public Perception, Officer Safety, and<br>Technological Advancements</i>",51.0,Priority
83,6.946592,4.968232,17,83,other,0.25,Certification Challenges,<i><br>Challenges and Solutions for Small Law<br>Enforcement Agencies in Meeting<br>Certification Standards and Implementing<br>New Technologies</i>,12.0,Regular
84,6.488658,5.2792106,33,84,other,0.25,Operations Enhancement,"<i><br>Improving Agency Operations through<br>Technology, Data, and Evidence-Based<br>Research</i>",30.0,Regular
85,6.5412645,5.279216,33,85,other,0.25,Operations Enhancement,"<i><br>Improving Agency Operations through<br>Technology, Data, and Evidence-Based<br>Research</i>",30.0,Regular
86,7.9254613,4.375466,38,86,tech,0.25,Vendor Systems Challenges,<i><br>Overcoming Challenges in Implementing<br>Vendor Systems in Court Systems:<br>Strategies and Solutions</i>,12.0,Regular
87,4.2908936,4.8439364,16,87,other,0.25,Correctional Workforce Challenges,"<i><br>Challenges and Needs in the Correctional<br>Workforce: Recruitment, Training,<br>Retention, and Public Perception</i>",44.0,Regular
88,4.1342545,4.6864376,16,88,other,0.25,Correctional Workforce Challenges,"<i><br>Challenges and Needs in the Correctional<br>Workforce: Recruitment, Training,<br>Retention, and Public Perception</i>",44.0,Regular
89,6.3675585,5.353829,-1,89,other,0.25,Noise Point,Noise Point,0.0,Regular
90,4.442077,4.6878,16,90,other,0.25,Correctional Workforce Challenges,"<i><br>Challenges and Needs in the Correctional<br>Workforce: Recruitment, Training,<br>Retention, and Public Perception</i>",44.0,Regular
91,5.9568086,8.993375,28,91,other,0.25,Facility Tracking,<i><br>Implementing Advanced Tracking and<br>Accountability Systems in Facilities</i>,11.0,Regular
92,4.606485,9.143712,25,92, polic,0.25,Aerial Surveillance,"<i><br>Unmanned Aerial Systems in Surveillance<br>and Perimeter Monitoring: Development,<br>Validation, and Community Concerns</i>",27.0,Priority
93,4.631072,9.120952,25,93,other,0.25,Aerial Surveillance,"<i><br>Unmanned Aerial Systems in Surveillance<br>and Perimeter Monitoring: Development,<br>Validation, and Community Concerns</i>",27.0,Priority
94,3.8034244,5.766001,-1,94,other,0.25,Noise Point,Noise Point,0.0,Regular
95,4.538335,4.625398,16,95,other,0.25,Correctional Workforce Challenges,"<i><br>Challenges and Needs in the Correctional<br>Workforce: Recruitment, Training,<br>Retention, and Public Perception</i>",44.0,Regular
96,4.2603617,5.5297465,11,96,other,0.25,Correctional Reform,"<i><br>Improving Services and Practices in the<br>Correctional System: A Focus on Crime<br>Victims, Community Corrections, and<br>Positive Reinforcement for Offenders</i>",18.0,Regular
97,4.406403,4.6669574,16,97,other,0.25,Correctional Workforce Challenges,"<i><br>Challenges and Needs in the Correctional<br>Workforce: Recruitment, Training,<br>Retention, and Public Perception</i>",44.0,Regular
98,8.216762,4.578723,-1,98,other,0.25,Noise Point,Noise Point,0.0,Regular
99,8.492752,6.82764,-1,99,other,0.25,Noise Point,Noise Point,0.0,Regular
100,6.800684,6.995473,41,100,other,0.25,Law Enforcement Enhancement,"<i><br>Enhancing Law Enforcement Operations:<br>Public Perception, Officer Safety, and<br>Technological Advancements</i>",51.0,Priority
101,4.2003026,5.6907845,11,101,other,0.25,Correctional Reform,"<i><br>Improving Services and Practices in the<br>Correctional System: A Focus on Crime<br>Victims, Community Corrections, and<br>Positive Reinforcement for Offenders</i>",18.0,Regular
102,4.1599054,6.8971014,-1,102,other,0.25,Noise Point,Noise Point,0.0,Regular
103,3.6511242,7.6554914,8,103,stress,0.25,Law Enforcement Mental Health,<i><br>Mental Health Challenges and Support<br>Needs in Law Enforcement</i>,9.0,Priority
104,4.7517085,4.1112742,15,104,other,0.25,Recruitment Challenges,"<i><br>Challenges and Strategies in<br>Recruitment, Retention, and Supervision<br>within Agencies</i>",26.0,Regular
105,9.269137,4.7706494,35,105,other,0.25,Court Reform,"<i><br>Reforming the Court System: Enhancing<br>Efficiency through Negotiation,<br>Restorative Justice, and Technological<br>Innovations</i>",10.0,Regular
106,9.055834,5.166693,44,106,tech,0.25,Court Technology Challenges,<i><br>Challenges and Solutions for Integrating<br>Modern Technology in the Court System</i>,52.0,Regular
107,8.430403,5.5093465,-1,107,other,0.25,Noise Point,Noise Point,0.0,Regular
108,8.535645,4.5401926,44,108,tech,0.25,Court Technology Challenges,<i><br>Challenges and Solutions for Integrating<br>Modern Technology in the Court System</i>,52.0,Regular
109,8.458736,4.617071,44,109,tech,0.25,Court Technology Challenges,<i><br>Challenges and Solutions for Integrating<br>Modern Technology in the Court System</i>,52.0,Regular
110,8.601427,4.45706,44,110,tech,0.25,Court Technology Challenges,<i><br>Challenges and Solutions for Integrating<br>Modern Technology in the Court System</i>,52.0,Regular
111,8.517661,4.5263844,44,111,tech,0.25,Court Technology Challenges,<i><br>Challenges and Solutions for Integrating<br>Modern Technology in the Court System</i>,52.0,Regular
112,8.625128,4.6111984,44,112,tech,0.25,Court Technology Challenges,<i><br>Challenges and Solutions for Integrating<br>Modern Technology in the Court System</i>,52.0,Regular
113,5.2489386,4.090439,-1,113,tech,0.25,Noise Point,Noise Point,0.0,Regular
114,5.226932,4.102441,15,114,tech,0.25,Recruitment Challenges,"<i><br>Challenges and Strategies in<br>Recruitment, Retention, and Supervision<br>within Agencies</i>",26.0,Regular
115,5.227722,4.0865364,-1,115,tech,0.25,Noise Point,Noise Point,0.0,Regular
116,3.486149,7.3740954,8,116,other,0.25,Law Enforcement Mental Health,<i><br>Mental Health Challenges and Support<br>Needs in Law Enforcement</i>,9.0,Priority
117,6.5899935,6.9996576,41,117,other,0.25,Law Enforcement Enhancement,"<i><br>Enhancing Law Enforcement Operations:<br>Public Perception, Officer Safety, and<br>Technological Advancements</i>",51.0,Priority
118,4.9062676,4.316337,15,118,other,0.25,Recruitment Challenges,"<i><br>Challenges and Strategies in<br>Recruitment, Retention, and Supervision<br>within Agencies</i>",26.0,Regular
119,6.151487,6.665054,41,119,tech,0.25,Law Enforcement Enhancement,"<i><br>Enhancing Law Enforcement Operations:<br>Public Perception, Officer Safety, and<br>Technological Advancements</i>",51.0,Priority
120,6.9452415,4.9588437,17,120, polic,0.25,Certification Challenges,<i><br>Challenges and Solutions for Small Law<br>Enforcement Agencies in Meeting<br>Certification Standards and Implementing<br>New Technologies</i>,12.0,Regular
121,8.671617,4.847822,44,121,tech,0.25,Court Technology Challenges,<i><br>Challenges and Solutions for Integrating<br>Modern Technology in the Court System</i>,52.0,Regular
122,8.866059,4.74425,44,122,tech,0.25,Court Technology Challenges,<i><br>Challenges and Solutions for Integrating<br>Modern Technology in the Court System</i>,52.0,Regular
123,10.2133665,4.4681964,36,123, polic,0.25,Digital Influence,<i><br>Challenges and Strategies in Mitigating<br>the Impact of Social Media and Mobile<br>Devices on the Judicial System</i>,21.0,Regular
124,8.535623,6.406988,47,124,other,0.25,Data Access,"<i><br>Improving Access to Centralized<br>Databases for State and Local Agencies:<br>Balancing Security, Privacy, and Public<br>Access</i>",16.0,Regular
125,8.870715,5.251021,44,125,tech,0.25,Court Technology Challenges,<i><br>Challenges and Solutions for Integrating<br>Modern Technology in the Court System</i>,52.0,Regular
126,5.566966,4.6522865,10,126,other,0.25,Training Methods,"<i><br>Exploring the Need for Improved,<br>Scalable, and Cost-Effective Training<br>Methods Across Various Sectors</i>",16.0,Priority
127,3.6111786,5.9544387,22,127,elder,0.25,Correctional Efficiency,<i><br>Efficiency and Special Needs Management<br>in Correctional Facilities</i>,32.0,Regular
128,3.6896117,6.0918694,22,128, polic,0.25,Correctional Efficiency,<i><br>Efficiency and Special Needs Management<br>in Correctional Facilities</i>,32.0,Regular
129,3.448191,6.377674,-1,129,other,0.25,Noise Point,Noise Point,0.0,Regular
130,3.736745,6.1372976,22,130,other,0.25,Correctional Efficiency,<i><br>Efficiency and Special Needs Management<br>in Correctional Facilities</i>,32.0,Regular
131,2.5836902,4.8054795,7,131,other,0.25,Correctional Suicide Prevention,<i><br>Improving Suicide Prevention Strategies<br>in Correctional Facilities</i>,24.0,Regular
132,3.8124483,5.837447,22,132,other,0.25,Correctional Efficiency,<i><br>Efficiency and Special Needs Management<br>in Correctional Facilities</i>,32.0,Regular
133,7.1298532,7.2601748,-1,133, polic,0.25,Noise Point,Noise Point,0.0,Regular
134,4.418552,5.872015,11,134,other,0.25,Correctional Reform,"<i><br>Improving Services and Practices in the<br>Correctional System: A Focus on Crime<br>Victims, Community Corrections, and<br>Positive Reinforcement for Offenders</i>",18.0,Regular
135,4.2905035,6.888636,-1,135,other,0.25,Noise Point,Noise Point,0.0,Regular
136,3.6841767,6.6828494,-1,136,other,0.25,Noise Point,Noise Point,0.0,Regular
137,4.458006,5.9401045,11,137,other,0.25,Correctional Reform,"<i><br>Improving Services and Practices in the<br>Correctional System: A Focus on Crime<br>Victims, Community Corrections, and<br>Positive Reinforcement for Offenders</i>",18.0,Regular
138,4.4058642,5.9041142,11,138,other,0.25,Correctional Reform,"<i><br>Improving Services and Practices in the<br>Correctional System: A Focus on Crime<br>Victims, Community Corrections, and<br>Positive Reinforcement for Offenders</i>",18.0,Regular
139,6.2155704,7.1560717,41,139, polic,0.25,Law Enforcement Enhancement,"<i><br>Enhancing Law Enforcement Operations:<br>Public Perception, Officer Safety, and<br>Technological Advancements</i>",51.0,Priority
140,7.884473,7.5949774,37,140, polic,0.25,Digital Investigations,<i><br>Challenges and Solutions in Law<br>Enforcement's Use of Social Media and<br>Digital Data</i>,16.0,Regular
141,7.677317,8.064365,27,141, polic,0.25,Video Management,"<i><br>Improving Video Data Management,<br>Analytics, and Standards in Civil<br>Service</i>",25.0,Priority
142,6.0840297,6.6338243,-1,142,other,0.25,Noise Point,Noise Point,0.0,Regular
143,3.1308496,4.939144,6,143,stress,0.25,Correctional Stress Management,<i><br>Mental Health and Stress Management<br>Strategies in Correctional Facilities: A<br>Call for Research and Training</i>,16.0,Regular
144,3.452063,5.029011,6,144,other,0.25,Correctional Stress Management,<i><br>Mental Health and Stress Management<br>Strategies in Correctional Facilities: A<br>Call for Research and Training</i>,16.0,Regular
145,4.407417,7.4241686,-1,145,other,0.25,Noise Point,Noise Point,0.0,Regular
146,4.346793,5.6548314,11,146,other,0.25,Correctional Reform,"<i><br>Improving Services and Practices in the<br>Correctional System: A Focus on Crime<br>Victims, Community Corrections, and<br>Positive Reinforcement for Offenders</i>",18.0,Regular
147,5.322404,7.647368,29,147,other,0.25,Law Enforcement Challenges,"<i><br>Addressing Challenges in Law<br>Enforcement: Caseload Management,<br>Officer Safety, and Technological<br>Advancements</i>",9.0,Regular
148,3.1611567,6.8552494,19,148,drug,0.25,Mental Health Challenges,<i><br>Challenges and Solutions in Managing and<br>Treating Serious Mental Illness in<br>Societal Contexts</i>,38.0,Priority
149,7.9131784,7.110518,-1,149,other,0.25,Noise Point,Noise Point,0.0,Regular
150,5.730769,4.977073,10,150,other,0.25,Training Methods,"<i><br>Exploring the Need for Improved,<br>Scalable, and Cost-Effective Training<br>Methods Across Various Sectors</i>",16.0,Priority
151,5.3880663,7.2977796,-1,151,other,0.25,Noise Point,Noise Point,0.0,Regular
152,5.149847,7.3723526,-1,152,other,0.25,Noise Point,Noise Point,0.0,Regular
153,5.7793493,4.9156833,10,153,other,0.25,Training Methods,"<i><br>Exploring the Need for Improved,<br>Scalable, and Cost-Effective Training<br>Methods Across Various Sectors</i>",16.0,Priority
154,8.3893795,5.0579057,-1,154,tech,0.25,Noise Point,Noise Point,0.0,Regular
155,5.6802287,4.772866,10,155,other,0.25,Training Methods,"<i><br>Exploring the Need for Improved,<br>Scalable, and Cost-Effective Training<br>Methods Across Various Sectors</i>",16.0,Priority
156,5.7032633,5.04657,10,156,other,0.25,Training Methods,"<i><br>Exploring the Need for Improved,<br>Scalable, and Cost-Effective Training<br>Methods Across Various Sectors</i>",16.0,Priority
157,6.7342963,5.4715595,33,157,other,0.25,Operations Enhancement,"<i><br>Improving Agency Operations through<br>Technology, Data, and Evidence-Based<br>Research</i>",30.0,Regular
158,5.648232,4.930809,10,158,other,0.25,Training Methods,"<i><br>Exploring the Need for Improved,<br>Scalable, and Cost-Effective Training<br>Methods Across Various Sectors</i>",16.0,Priority
159,6.7494283,5.453523,33,159,other,0.25,Operations Enhancement,"<i><br>Improving Agency Operations through<br>Technology, Data, and Evidence-Based<br>Research</i>",30.0,Regular
160,7.645987,5.6128726,42,160,other,0.25,Data Governance,<i><br>Addressing Challenges and Enhancing Data<br>Sharing and Interoperability in<br>Government Agencies</i>,22.0,Regular
161,8.121812,5.5461407,-1,161,other,0.25,Noise Point,Noise Point,0.0,Regular
162,8.646126,4.8417664,44,162,tech,0.25,Court Technology Challenges,<i><br>Challenges and Solutions for Integrating<br>Modern Technology in the Court System</i>,52.0,Regular
163,8.788212,4.7134233,44,163,tech,0.25,Court Technology Challenges,<i><br>Challenges and Solutions for Integrating<br>Modern Technology in the Court System</i>,52.0,Regular
164,3.3754683,4.902725,6,164,other,0.25,Correctional Stress Management,<i><br>Mental Health and Stress Management<br>Strategies in Correctional Facilities: A<br>Call for Research and Training</i>,16.0,Regular
165,5.2033873,7.8425584,32,165,other,0.25,Safety Innovations,<i><br>Advancements in Law Enforcement Safety<br>Equipment and Practices</i>,29.0,Regular
166,4.373018,5.667699,11,166,other,0.25,Correctional Reform,"<i><br>Improving Services and Practices in the<br>Correctional System: A Focus on Crime<br>Victims, Community Corrections, and<br>Positive Reinforcement for Offenders</i>",18.0,Regular
167,3.9433951,6.3674717,22,167,other,0.25,Correctional Efficiency,<i><br>Efficiency and Special Needs Management<br>in Correctional Facilities</i>,32.0,Regular
168,4.27366,5.9991183,11,168,other,0.25,Correctional Reform,"<i><br>Improving Services and Practices in the<br>Correctional System: A Focus on Crime<br>Victims, Community Corrections, and<br>Positive Reinforcement for Offenders</i>",18.0,Regular
169,6.6359487,7.2801843,41,169,other,0.25,Law Enforcement Enhancement,"<i><br>Enhancing Law Enforcement Operations:<br>Public Perception, Officer Safety, and<br>Technological Advancements</i>",51.0,Priority
170,9.663657,5.226464,-1,170,other,0.25,Noise Point,Noise Point,0.0,Regular
171,8.538171,6.5686307,-1,171,tech,0.25,Noise Point,Noise Point,0.0,Regular
172,8.482711,6.4743915,47,172,other,0.25,Data Access,"<i><br>Improving Access to Centralized<br>Databases for State and Local Agencies:<br>Balancing Security, Privacy, and Public<br>Access</i>",16.0,Regular
173,9.4354925,3.983794,-1,173,other,0.25,Noise Point,Noise Point,0.0,Regular
174,10.632678,3.7646573,2,174,other,0.25,Access and Support,<i><br>Improving Access and Support for Pro Se<br>Litigants through Technology and Non-<br>Lawyer Assistance</i>,9.0,Regular
